"","run","samples","edays","egord","xseed","yseed","degord","nobjects","dev","type","k"
"275",5,40,27.6525,3.01346488433478,37.9059084189963,15.1214534503873,2.16666666666667,1,-0.846798217668111,"IXT",20
"276",6,39,27.6525,2.93812826222641,36.9869448034007,45.8294525379832,2.16666666666667,1,-0.771461595559741,"IXT",20
"277",7,35,27.6525,2.63678177379293,47.2815053113484,26.9693922397572,2.16666666666667,1,-0.470115107126264,"IXT",20
"278",8,29,27.6525,2.18476204114271,47.7567877459947,27.4080977970247,2.16666666666667,1,-0.0180953744760473,"IXT",20
"279",9,31,27.6525,2.33543528535945,26.0659300442778,40.4690975301492,2.16666666666667,1,-0.168768618692786,"IXT",20
"280",10,36,27.6525,2.7121183959013,35.6666935612442,49.2916760359587,2.16666666666667,1,-0.545451729234633,"IXT",20
"281",11,35,27.6525,2.63678177379293,38.3298136726818,26.4806666677792,2.16666666666667,1,-0.470115107126264,"IXT",20
"282",12,39,27.6525,2.93812826222641,29.897134121967,12.4334612421166,2.16666666666667,1,-0.771461595559741,"IXT",20
"283",13,20,27.6525,1.50673244216739,17.3772542603274,20.3061998525747,2.16666666666667,1,0.659934224499278,"IXT",20
"284",14,24,27.6525,1.80807893060087,49.5144885918308,11.1723538994283,2.16666666666667,1,0.3585877360658,"IXT",20
"285",15,21,27.6525,1.58206906427576,21.9407303684553,49.7188554040142,2.16666666666667,1,0.584597602390909,"IXT",20
"286",1,33,27.6525,2.48610852957619,19.60104,27.41922,2.16666666666667,1,-0.319441862909525,"IXT",100
"287",2,29,27.6525,2.18476204114271,34.52898,53.04571,2.16666666666667,1,-0.0180953744760473,"IXT",100
"288",3,23,27.6525,1.7327423084925,41.48607,30.57639,2.16666666666667,1,0.433924358174169,"IXT",100
"289",4,40,27.6525,3.01346488433478,17.23923,43.13951,2.16666666666667,1,-0.846798217668111,"IXT",100
"290",5,26,27.6525,1.95875217481761,17.4325,32.96281,2.16666666666667,1,0.207914491849061,"IXT",100
"291",6,30,27.6525,2.26009866325108,16.60606,43.60172,2.16666666666667,1,-0.0934319965844166,"IXT",100
"292",7,32,27.6525,2.41077190746782,30.63164,11.79181,2.16666666666667,1,-0.244105240801155,"IXT",100
"293",8,31,27.6525,2.33543528535945,29.41527,40.16984,2.16666666666667,1,-0.168768618692786,"IXT",100
"294",9,28,27.6525,2.10942541903434,22.03558,15.53496,2.16666666666667,1,0.0572412476323225,"IXT",100
"295",10,34,27.6525,2.56144515168456,11.94527,17.40152,2.16666666666667,1,-0.394778485017894,"IXT",100
"296",11,42,27.6525,3.16413812855152,15.04134,43.17613,2.16666666666667,1,-0.997471461884849,"IXT",100
"297",12,33,27.6525,2.48610852957619,44.68679,45.7394,2.16666666666667,1,-0.319441862909525,"IXT",100
"298",13,24,27.6525,1.80807893060087,50.52962,24.90632,2.16666666666667,1,0.3585877360658,"IXT",100
"299",14,24,27.6525,1.80807893060087,40.849,27.1834,2.16666666666667,1,0.3585877360658,"IXT",100
"300",15,35,27.6525,2.63678177379293,18.68577,16.6725,2.16666666666667,1,-0.470115107126264,"IXT",100
"301",1,97,27.6525,7.30765234451184,16.7967169529157,54.487500425551,1.08333333333333,1,-6.2243190111785,"IXT",2.5
"302",2,71,27.6525,5.34890016969423,10.9812681509258,53.2977053306793,1.08333333333333,1,-4.2655668363609,"IXT",2.5
